Building_ID,Area (sq. ft.),Number of Residents,Energy Consumption (kWh),Insulation Type,Energy-Efficient Appliances,Renewable Energy Usage (%),Climate Zone
B1,3974,4,1871,Good,0,68,Tropical
B2,1660,5,1996,Good,7,99,Cold
B3,2094,1,1754,Poor,0,33,Temperate
B4,1930,5,689,Poor,8,51,Cold
B5,1895,7,1748,Good,5,94,Cold
B6,3892,5,1908,Good,6,9,Temperate
B7,2438,1,1900,Good,9,18,Cold
B8,2969,1,1806,Average,6,57,Tropical
B9,1266,7,1132,Poor,9,95,Tropical
B10,2038,1,1127,Good,2,0,Cold
B11,1130,1,1472,Poor,1,68,Tropical
B12,2282,4,1782,Average,8,3,Cold
B13,2935,7,1882,Average,7,15,Tropical
B14,3971,3,1209,Good,9,23,Tropical
B15,3719,3,1979,Average,6,79,Cold
B16,930,1,1934,Poor,8,1,Tropical
B17,2485,3,1148,Good,3,91,Cold
B18,1569,3,817,Poor,3,31,Tropical
B19,3191,1,1748,Poor,0,90,Tropical
B20,2315,3,1757,Average,7,83,Temperate
B21,3653,5,1183,Average,2,23,Temperate
B22,3233,2,1163,Average,6,11,Cold
B23,2015,7,1897,Average,1,49,Temperate
B24,1755,2,1995,Average,1,34,Cold
B25,3124,1,1756,Good,6,32,Temperate
B26,1984,4,1636,Poor,5,32,Tropical
B27,1259,7,941,Poor,2,60,Cold
B28,821,1,1063,Poor,8,50,Cold
B29,3100,4,1791,Poor,9,42,Tropical
B30,1547,2,1909,Average,5,100,Cold
B31,3704,1,1910,Poor,9,11,Cold
B32,1274,7,1636,Good,9,66,Temperate
B33,1882,7,1451,Good,5,64,Cold
B34,3358,6,1604,Poor,0,32,Tropical
B35,2847,5,1198,Poor,3,39,Temperate
B36,3547,3,612,Good,9,73,Temperate
B37,1775,4,501,Good,5,42,Tropical
B38,2606,6,1141,Average,5,43,Tropical
B39,989,3,719,Good,4,28,Temperate
B40,3805,3,1354,Average,0,12,Cold
B41,3534,1,1748,Average,7,11,Temperate
B42,3805,3,884,Average,4,94,Tropical
B43,1362,5,1926,Average,4,45,Temperate
B44,2699,7,1653,Average,6,1,Tropical
B45,2067,6,1576,Poor,3,34,Temperate
B46,3679,3,1229,Good,5,86,Cold
B47,2328,1,1939,Average,3,80,Temperate
B48,1446,5,746,Good,2,89,Temperate
B49,2868,2,1335,Good,6,7,Tropical
B50,3688,7,1962,Average,7,92,Tropical
B51,3014,7,702,Poor,3,25,Tropical
B52,2097,6,1707,Average,1,73,Temperate
B53,3235,7,622,Poor,9,89,Cold
B54,1400,3,900,Good,2,33,Tropical
B55,3163,1,1266,Poor,0,6,Tropical
B56,2861,7,793,Poor,7,67,Temperate
B57,1041,7,779,Poor,2,57,Tropical
B58,2841,2,1383,Good,9,74,Cold
B59,3624,2,697,Good,6,28,Cold
B60,3412,4,1481,Poor,9,35,Tropical
B61,3745,5,1251,Poor,4,88,Tropical
B62,2163,3,643,Average,9,20,Temperate
B63,2939,7,1108,Poor,4,35,Cold
B64,2190,7,1724,Average,6,9,Cold
B65,3803,1,1647,Poor,8,100,Tropical
B66,2278,4,686,Average,4,72,Temperate
B67,3356,5,1849,Good,0,23,Cold
B68,1575,4,963,Poor,9,63,Cold
B69,834,6,1872,Poor,9,98,Temperate
B70,3053,5,1159,Poor,0,48,Temperate
B71,3952,7,1263,Poor,1,98,Cold
B72,2755,7,1454,Average,5,35,Cold
B73,2385,5,902,Poor,8,81,Temperate
B74,3873,7,1869,Good,7,95,Cold
B75,1821,3,646,Good,4,23,Tropical
B76,3413,5,1671,Poor,0,22,Tropical
B77,1929,4,1363,Good,6,61,Temperate
B78,2300,5,988,Poor,4,95,Temperate
B79,1502,7,1428,Poor,5,36,Temperate
B80,3249,3,1050,Good,6,11,Tropical
B81,3577,3,837,Poor,2,54,Cold
B82,2379,6,1371,Good,9,12,Tropical
B83,961,4,1140,Average,2,22,Cold
B84,1001,2,972,Poor,4,88,Tropical
B85,2781,2,650,Average,5,98,Cold
B86,1795,5,1938,Good,8,29,Tropical
B87,3117,6,1821,Average,4,16,Temperate
B88,1615,1,762,Average,0,61,Tropical
B89,1255,5,643,Good,3,83,Cold
B90,2075,6,845,Average,4,88,Tropical
B91,1816,4,1123,Average,9,85,Tropical
B92,3143,4,1516,Good,9,12,Tropical
B93,3567,4,1380,Average,4,58,Temperate
B94,1137,4,501,Good,6,18,Tropical
B95,1678,4,1396,Average,3,48,Temperate
B96,1876,6,1827,Good,0,99,Temperate
B97,1591,6,753,Good,4,11,Tropical
B98,3064,3,952,Average,6,60,Tropical
B99,1563,2,1560,Average,9,18,Tropical
B100,3035,7,1683,Average,9,75,Cold
